file_name,assembly_idx
0001.mol,10
0002.mol,9
0003.mol,9
0004.mol,8
0005.mol,12
0006.mol,10
0007.mol,10
0008.mol,9
0009.mol,11
0010.mol,12
0011.mol,10
0012.mol,9
0013.mol,7
0014.mol,11
0015.mol,11
0016.mol,9
0017.mol,10
0018.mol,10
0019.mol,10
0020.mol,11
0021.mol,8
0022.mol,8
0023.mol,11
0024.mol,10
0025.mol,8
0026.mol,9
0027.mol,8
0028.mol,9
0029.mol,8
0030.mol,6
0031.mol,12
0032.mol,9
0033.mol,11
0034.mol,8
0035.mol,8
0036.mol,11
0037.mol,7
0038.mol,9
0039.mol,11
0040.mol,9
0041.mol,9
0042.mol,11
0043.mol,11
0044.mol,8
0045.mol,11
0046.mol,9
0047.mol,9
0048.mol,10
0049.mol,7
0050.mol,9
0051.mol,11
0052.mol,9
0053.mol,10
0054.mol,8
0055.mol,10
0056.mol,12
0057.mol,9
0058.mol,8
0059.mol,11
0060.mol,9
0061.mol,11
0062.mol,12
0063.mol,10
0064.mol,11
0065.mol,14
0066.mol,10
0067.mol,11
0068.mol,8
0069.mol,11
0070.mol,9
0071.mol,9
0072.mol,9
0073.mol,12
0074.mol,12
0075.mol,11
0076.mol,10
0077.mol,10
0078.mol,11
0079.mol,11
0080.mol,9
0081.mol,13
0082.mol,12
0083.mol,10
0084.mol,9
0085.mol,10
0086.mol,9
0087.mol,12
0088.mol,13
0089.mol,12
0090.mol,11
0091.mol,9
0092.mol,12
0093.mol,8
0094.mol,13
0095.mol,10
0096.mol,13
0097.mol,8
0098.mol,11
0099.mol,13
0100.mol,9
0101.mol,10
0102.mol,15
0103.mol,11
0104.mol,13
0105.mol,12
0106.mol,14
0107.mol,11
0108.mol,13
0109.mol,12
0110.mol,14
0111.mol,7
0112.mol,12
0113.mol,10
0114.mol,11
0115.mol,9
0116.mol,11
0117.mol,13
0118.mol,12
0119.mol,10
0120.mol,8
0121.mol,11
0122.mol,8
0123.mol,10
0124.mol,13
0125.mol,10
0126.mol,11
0127.mol,10
0128.mol,15
0129.mol,14
0130.mol,15
0131.mol,15
0132.mol,10
0133.mol,12
0134.mol,10
0135.mol,9
0136.mol,15
0137.mol,11
0138.mol,8
0139.mol,7
0140.mol,11
0141.mol,13
0142.mol,13
0143.mol,10
0144.mol,14
0145.mol,15
0146.mol,11
0147.mol,10
0148.mol,11
0149.mol,12
0150.mol,10
0151.mol,12
0152.mol,13
0153.mol,11
0154.mol,11
0155.mol,11
0156.mol,10
0157.mol,14
0158.mol,10
0159.mol,12
0160.mol,12
0161.mol,12
0162.mol,15
0163.mol,11
0164.mol,12
0165.mol,15
0166.mol,12
0167.mol,13
0168.mol,16
0169.mol,9
0170.mol,13
0171.mol,14
0172.mol,15
0173.mol,12
0174.mol,13
0175.mol,13
0176.mol,16
0177.mol,12
0178.mol,13
0179.mol,11
0180.mol,17
0181.mol,11
0182.mol,16
0183.mol,15
0184.mol,10
0185.mol,18
0186.mol,13
0187.mol,14
0188.mol,13
0189.mol,12
0190.mol,12
0191.mol,11
0192.mol,16
0193.mol,13
0194.mol,14
0195.mol,12
0196.mol,13
0197.mol,13
0198.mol,14
0199.mol,11
0200.mol,11
0201.mol,10
0202.mol,12
0203.mol,13
0204.mol,14
0205.mol,13
0206.mol,12
0207.mol,16
0208.mol,13
0209.mol,12
0210.mol,12
0211.mol,14
0212.mol,12
0213.mol,17
0214.mol,11
0215.mol,13
0216.mol,12
0217.mol,11
0218.mol,13
0219.mol,16
0220.mol,12
