file_name,assembly_idx
0001.mol,5
0002.mol,5
0003.mol,5
0004.mol,5
0005.mol,5
0006.mol,5
0007.mol,5
0008.mol,5
0009.mol,5
0010.mol,5
0011.mol,5
0012.mol,5
0013.mol,5
0014.mol,5
0015.mol,5
0016.mol,5
0017.mol,5
0018.mol,5
0019.mol,5
0020.mol,5
0021.mol,5
0022.mol,5
0023.mol,5
0024.mol,5
0025.mol,5
0026.mol,5
0027.mol,5
0028.mol,5
0029.mol,5
0030.mol,5
0031.mol,5
0032.mol,5
0033.mol,5
0034.mol,5
0035.mol,5
0036.mol,5
0037.mol,5
0038.mol,5
0039.mol,5
0040.mol,5
0041.mol,5
0042.mol,5
0043.mol,5
0044.mol,5
0045.mol,5
0046.mol,5
0047.mol,5
0048.mol,5
0049.mol,5
0050.mol,5
0051.mol,5
0052.mol,5
0053.mol,5
0054.mol,5
0055.mol,5
0056.mol,5
0057.mol,4
0058.mol,5
0059.mol,5
0060.mol,5
0061.mol,5
0062.mol,5
0063.mol,5
0064.mol,5
0065.mol,5
0066.mol,4
0067.mol,5
0068.mol,5
0069.mol,5
0070.mol,5
0071.mol,5
0072.mol,5
0073.mol,5
0074.mol,5
0075.mol,5
0076.mol,5
0077.mol,5
0078.mol,5
0079.mol,4
0080.mol,4
0081.mol,4
0082.mol,5
0083.mol,5
0084.mol,5
0085.mol,4
0086.mol,5
0087.mol,4
0088.mol,5
0089.mol,5
0090.mol,4
0091.mol,5
0092.mol,5
0093.mol,5
0094.mol,5
0095.mol,5
0096.mol,5
0097.mol,5
0098.mol,5
0099.mol,5
0100.mol,4
0101.mol,4
0102.mol,5
0103.mol,5
0104.mol,5
0105.mol,5
0106.mol,5
0107.mol,5
0108.mol,5
0109.mol,5
0110.mol,4
0111.mol,5
0112.mol,4
0113.mol,4
0114.mol,4
0115.mol,4
0116.mol,4
0117.mol,4
0118.mol,4
0119.mol,4
0120.mol,5
0121.mol,5
0122.mol,5
0123.mol,5
0124.mol,5
0125.mol,5
0126.mol,5
0127.mol,5
0128.mol,5
0129.mol,5
0130.mol,5
0131.mol,5
0132.mol,5
0133.mol,5
0134.mol,5
0135.mol,5
0136.mol,5
0137.mol,5
0138.mol,5
0139.mol,5
0140.mol,5
0141.mol,5
0142.mol,5
0143.mol,5
0144.mol,5
0145.mol,5
0146.mol,5
0147.mol,5
0148.mol,5
0149.mol,5
0150.mol,5
0151.mol,5
0152.mol,5
0153.mol,5
0154.mol,5
0155.mol,5
0156.mol,5
0157.mol,5
0158.mol,5
0159.mol,5
0160.mol,5
0161.mol,5
0162.mol,5
0163.mol,5
0164.mol,5
0165.mol,5
0166.mol,4
0167.mol,4
0168.mol,5
0169.mol,5
0170.mol,4
0171.mol,4
0172.mol,4
0173.mol,5
0174.mol,4
0175.mol,4
0176.mol,5
0177.mol,4
0178.mol,4
0179.mol,4
0180.mol,4
0181.mol,4
0182.mol,4
0183.mol,5
0184.mol,4
0185.mol,4
0186.mol,5
0187.mol,4
0188.mol,4
0189.mol,4
0190.mol,4
0191.mol,4
0192.mol,4
0193.mol,5
0194.mol,5
0195.mol,4
0196.mol,5
0197.mol,5
0198.mol,4
0199.mol,4
0200.mol,4
0201.mol,2
0202.mol,2
0203.mol,2
0204.mol,2
0205.mol,2
0206.mol,2
0207.mol,2
0208.mol,2
0209.mol,2
0210.mol,2
0211.mol,2
0212.mol,2
0213.mol,2
0214.mol,2
0215.mol,2
0216.mol,2
0217.mol,2
0218.mol,2
0219.mol,2
0220.mol,2
0221.mol,3
0222.mol,2
0223.mol,3
0224.mol,2
0225.mol,2
0226.mol,2
0227.mol,2
0228.mol,2
0229.mol,2
0230.mol,2
0231.mol,2
0232.mol,2
0233.mol,2
0234.mol,2
0235.mol,3
0236.mol,2
0237.mol,2
0238.mol,2
0239.mol,2
0240.mol,2
0241.mol,2
0242.mol,2
0243.mol,2
0244.mol,3
0245.mol,3
0246.mol,3
0247.mol,3
0248.mol,3
0249.mol,2
0250.mol,2
0251.mol,2
0252.mol,3
0253.mol,3
0254.mol,3
0255.mol,3
0256.mol,2
0257.mol,3
0258.mol,2
0259.mol,3
0260.mol,2
0261.mol,3
0262.mol,2
0263.mol,3
0264.mol,3
0265.mol,3
0266.mol,3
0267.mol,2
0268.mol,3
0269.mol,3
0270.mol,3
0271.mol,3
0272.mol,3
0273.mol,3
0274.mol,3
0275.mol,3
0276.mol,3
0277.mol,3
0278.mol,3
0279.mol,3
0280.mol,3
0281.mol,3
0282.mol,3
0283.mol,3
0284.mol,3
0285.mol,3
0286.mol,3
0287.mol,3
0288.mol,3
0289.mol,3
0290.mol,3
0291.mol,3
0292.mol,3
0293.mol,3
0294.mol,3
0295.mol,3
0296.mol,3
0297.mol,3
0298.mol,3
0299.mol,3
0300.mol,3
0301.mol,3
0302.mol,2
0303.mol,3
0304.mol,3
0305.mol,3
0306.mol,3
0307.mol,4
