file_name,assembly_idx
0001.mol,8
0002.mol,7
0003.mol,11
0004.mol,7
0005.mol,11
0006.mol,9
0007.mol,9
0008.mol,9
0009.mol,9
0010.mol,6
0011.mol,9
0012.mol,8
0013.mol,11
0014.mol,9
0015.mol,11
0016.mol,8
0017.mol,9
0018.mol,8
0019.mol,10
0020.mol,6
0021.mol,10
0022.mol,7
0023.mol,8
0024.mol,9
0025.mol,9
0026.mol,10
0027.mol,7
0028.mol,7
0029.mol,9
0030.mol,9
0031.mol,8
0032.mol,10
0033.mol,10
0034.mol,9
0035.mol,10
0036.mol,10
0037.mol,8
0038.mol,8
0039.mol,7
0040.mol,9
0041.mol,6
0042.mol,8
0043.mol,10
0044.mol,7
0045.mol,10
0046.mol,9
0047.mol,13
0048.mol,9
0049.mol,11
0050.mol,13
0051.mol,7
0052.mol,9
0053.mol,8
0054.mol,10
0055.mol,11
0056.mol,9
0057.mol,8
0058.mol,10
0059.mol,11
0060.mol,8
0061.mol,9
0062.mol,8
0063.mol,8
0064.mol,8
0065.mol,9
0066.mol,11
0067.mol,7
0068.mol,9
0069.mol,10
0070.mol,9
0071.mol,8
0072.mol,8
0073.mol,9
0074.mol,7
0075.mol,9
0076.mol,10
0077.mol,8
0078.mol,8
0079.mol,10
0080.mol,8
0081.mol,7
0082.mol,8
0083.mol,8
0084.mol,9
0085.mol,10
0086.mol,10
0087.mol,10
0088.mol,8
0089.mol,8
0090.mol,8
0091.mol,9
0092.mol,8
0093.mol,9
0094.mol,11
0095.mol,8
0096.mol,9
0097.mol,7
0098.mol,7
0099.mol,9
0100.mol,8
0101.mol,8
0102.mol,7
0103.mol,8
0104.mol,9
0105.mol,9
0106.mol,8
0107.mol,9
0108.mol,9
0109.mol,7
0110.mol,8
0111.mol,10
0112.mol,11
0113.mol,7
0114.mol,9
0115.mol,9
0116.mol,7
0117.mol,10
0118.mol,8
0119.mol,8
0120.mol,8
0121.mol,8
0122.mol,9
0123.mol,9
0124.mol,7
0125.mol,10
0126.mol,10
0127.mol,8
0128.mol,10
0129.mol,11
0130.mol,9
0131.mol,9
0132.mol,8
0133.mol,8
0134.mol,9
0135.mol,9
0136.mol,11
0137.mol,10
0138.mol,9
0139.mol,8
0140.mol,9
0141.mol,7
0142.mol,9
0143.mol,8
0144.mol,9
0145.mol,9
0146.mol,8
0147.mol,9
0148.mol,10
0149.mol,9
0150.mol,7
0151.mol,8
0152.mol,8
0153.mol,7
0154.mol,8
0155.mol,7
0156.mol,8
0157.mol,8
0158.mol,11
0159.mol,7
0160.mol,8
0161.mol,8
0162.mol,9
0163.mol,13
0164.mol,10
0165.mol,9
0166.mol,10
0167.mol,10
0168.mol,7
0169.mol,8
0170.mol,9
0171.mol,9
0172.mol,9
0173.mol,10
0174.mol,9
0175.mol,10
0176.mol,7
0177.mol,12
0178.mol,11
0179.mol,8
0180.mol,11
0181.mol,10
0182.mol,8
0183.mol,8
0184.mol,8
0185.mol,9
0186.mol,10
0187.mol,12
0188.mol,8
0189.mol,9
0190.mol,9
0191.mol,9
0192.mol,7
0193.mol,10
0194.mol,8
0195.mol,7
0196.mol,8
0197.mol,8
0198.mol,10
0199.mol,9
0200.mol,10
0201.mol,10
0202.mol,10
0203.mol,8
0204.mol,9
0205.mol,7
0206.mol,11
0207.mol,10
0208.mol,11
0209.mol,9
0210.mol,9
0211.mol,11
0212.mol,8
0213.mol,9
0214.mol,10
0215.mol,10
0216.mol,9
0217.mol,7
0218.mol,8
0219.mol,10
0220.mol,10
0221.mol,10
0222.mol,10
0223.mol,10
0224.mol,10
0225.mol,10
0226.mol,8
0227.mol,9
0228.mol,9
0229.mol,8
0230.mol,10
0231.mol,9
0232.mol,9
0233.mol,8
0234.mol,11
0235.mol,12
0236.mol,10
0237.mol,12
0238.mol,12
0239.mol,12
0240.mol,7
0241.mol,10
0242.mol,8
0243.mol,8
0244.mol,11
0245.mol,10
0246.mol,10
0247.mol,11
0248.mol,9
0249.mol,8
0250.mol,8
0251.mol,12
0252.mol,9
0253.mol,11
0254.mol,11
0255.mol,9
0256.mol,9
0257.mol,9
0258.mol,10
0259.mol,13
0260.mol,10
0261.mol,9
0262.mol,10
0263.mol,10
0264.mol,14
0265.mol,9
0266.mol,9
0267.mol,7
0268.mol,7
0269.mol,8
0270.mol,11
0271.mol,10
0272.mol,8
0273.mol,8
0274.mol,10
0275.mol,10
0276.mol,10
0277.mol,11
0278.mol,8
0279.mol,8
0280.mol,11
0281.mol,11
0282.mol,10
0283.mol,9
0284.mol,9
0285.mol,12
0286.mol,9
0287.mol,10
0288.mol,13
0289.mol,10
0290.mol,10
0291.mol,9
0292.mol,8
0293.mol,9
0294.mol,9
0295.mol,12
0296.mol,8
0297.mol,10
0298.mol,9
0299.mol,10
0300.mol,9
0301.mol,9
0302.mol,8
0303.mol,7
0304.mol,8
0305.mol,11
0306.mol,7
0307.mol,12
0308.mol,12
0309.mol,8
0310.mol,8
0311.mol,11
0312.mol,10
0313.mol,11
0314.mol,9
0315.mol,10
0316.mol,9
0317.mol,11
0318.mol,8
0319.mol,10
0320.mol,7
0321.mol,10
0322.mol,8
0323.mol,10
0324.mol,8
0325.mol,8
0326.mol,9
0327.mol,10
0328.mol,10
0329.mol,11
0330.mol,8
0331.mol,10
0332.mol,9
0333.mol,10
0334.mol,9
0335.mol,9
0336.mol,12
0337.mol,8
0338.mol,10
0339.mol,9
0340.mol,10
0341.mol,12
0342.mol,12
0343.mol,9
0344.mol,7
0345.mol,13
0346.mol,7
0347.mol,9
0348.mol,8
0349.mol,12
0350.mol,10
0351.mol,10
0352.mol,9
0353.mol,8
0354.mol,10
0355.mol,11
0356.mol,8
0357.mol,9
0358.mol,9
0359.mol,8
0360.mol,9
0361.mol,9
0362.mol,8
0363.mol,8
0364.mol,11
0365.mol,11
0366.mol,10
0367.mol,8
0368.mol,8
0369.mol,10
0370.mol,8
0371.mol,10
0372.mol,11
0373.mol,10
0374.mol,8
0375.mol,10
0376.mol,8
0377.mol,8
0378.mol,9
0379.mol,9
0380.mol,9
0381.mol,9
0382.mol,8
0383.mol,11
0384.mol,7
0385.mol,8
0386.mol,8
0387.mol,9
0388.mol,7
0389.mol,8
0390.mol,10
0391.mol,8
0392.mol,9
0393.mol,10
0394.mol,9
0395.mol,8
0396.mol,7
0397.mol,10
0398.mol,10
0399.mol,13
0400.mol,7
0401.mol,10
0402.mol,9
0403.mol,13
0404.mol,9
0405.mol,11
0406.mol,13
0407.mol,11
0408.mol,9
0409.mol,10
0410.mol,9
0411.mol,11
0412.mol,10
0413.mol,10
0414.mol,13
0415.mol,9
0416.mol,11
0417.mol,11
0418.mol,7
0419.mol,11
0420.mol,12
0421.mol,9
0422.mol,10
0423.mol,11
0424.mol,9
0425.mol,9
0426.mol,6
0427.mol,8
0428.mol,10
0429.mol,9
0430.mol,12
0431.mol,9
0432.mol,10
0433.mol,12
0434.mol,9
0435.mol,7
0436.mol,10
0437.mol,10
0438.mol,10
0439.mol,8
0440.mol,10
0441.mol,11
0442.mol,8
0443.mol,10
0444.mol,9
0445.mol,11
0446.mol,8
0447.mol,10
0448.mol,11
0449.mol,13
0450.mol,11
0451.mol,10
0452.mol,9
0453.mol,13
0454.mol,9
0455.mol,13
0456.mol,10
0457.mol,10
0458.mol,12
0459.mol,11
0460.mol,8
0461.mol,11
0462.mol,8
0463.mol,11
0464.mol,10
0465.mol,11
0466.mol,10
0467.mol,10
0468.mol,11
0469.mol,12
0470.mol,9
0471.mol,11
0472.mol,11
0473.mol,10
0474.mol,7
